x1,x2,r,a1,p_c0,p_r_given_c0,p_c0_given_r,p_c1,p_r_given_c1,p_c1_given_r,p_r
16.607028478142006,-34.98076211353316,38.722695062681474,5.155631258698958,0.5,1.06669142373297e-05,0.034761402271742944,0.5,0.00029619395846114263,0.965238597728257,0.00015343043634923618
17.313710541041665,-34.98076211353316,39.03099141378008,5.1719880285094675,0.5,9.701800545827155e-06,0.03423315192736819,0.5,0.00027370185934535887,0.9657668480726318,0.000141701829945593
18.020392603941332,-34.98076211353316,39.3495650248358,5.188084199239682,0.5,8.795579154768568e-06,0.03369969756418891,0.5,0.00025220317722918244,0.9663003024358111,0.0001304993781919755
18.72707466684099,-34.98076211353316,39.67816835012719,5.2039178087496705,0.5,7.948879574740181e-06,0.03316226021285743,0.5,0.0002317476768034737,0.9668377397871425,0.00011984827818910694
19.43375672974065,-34.98076211353316,40.01655430786535,5.2194874847770265,0.5,7.161559545472091e-06,0.03262200017495408,0.5,0.00021237002978271576,0.9673779998250459,0.00010976579466409393
20.14043879264031,-34.98076211353316,40.364476867707424,5.234792412101219,0.5,6.432803657197221e-06,0.03208001482266454,0.5,0.00019409090846566764,0.9679199851773355,0.00010026185606143243
20.84712085553997,-34.98076211353316,40.72169159071227,5.249832298966448,0.5,5.761222530785008e-06,0.031537337153156694,0.5,0.0001769181997300873,0.9684626628468432,9.133971113043615e-05
21.55380291843963,-34.98076211353316,41.087956122086844,5.264607343135322,0.5,5.144949977873116e-06,0.030994935033287346,0.5,0.00016084829931745984,0.9690050649667127,8.299662464766648e-05
22.26048498133929,-34.98076211353316,41.463030637521285,5.279118197908196,0.5,4.58173602159301e-06,0.03045371106735899,0.5,0.00014586744934891584,0.9695462889326409,7.522459268525443e-05
22.96716704423895,-34.98076211353316,41.84667824429524,5.293365938404992,0.5,4.069034116263391e-06,0.029914503019481186,0.5,0.0001319530857770044,0.9700854969805189,6.801105994663389e-05
23.673849107138608,-34.98076211353316,42.23866533865819,5.307352028368584,0.5,3.6040813424719043e-06,0.02937808472243071,0.5,0.00011907516669305851,0.9706219152775691,6.133962401776521e-05
